Company,Level Audition,Name,Re-Evaluation,2nd Re-Evaluation,ep2,ep4,ep6,ep7,ep9,ep12,ep16,ep20,ep23,note
Independent Trainees,A,Liu Jun,A,A,7,9,8,8,8,8,8,8,8,
Independent Trainees,N,Huang Hongming,N,N,43,53,56,37,37,37,37,37,37,
Independent Trainees,N,Gong Yixing,C,C,40,49,51,47,47,47,47,47,47,
RADiANT PiCTURES,C,Yan Xi,C,C,13,18,22,20,20,20,20,20,20,
DngD,N,Chen Zilong,N,N,103,114,113,-,,,,,,
Original Stone Music,C,Wu Yue,C,C,109,101,108,-,,,,,,
Astro Entertainment,A,Yu Jingtian,A,A,2,1,1,1,1,1,1,1,1,
avex China,A,Xu Ziwei,C,C,93,25,15,13,13,13,13,13,13,
B.K. Entertainment,B,Bai Lu,C,C,65,82,60,55,55,55,55,55,55,
B/G ENTERTAINMENT,B,Wang Nanjun,B,B,36,24,25,24,24,24,24,24,24,
B/G ENTERTAINMENT,C,Li Qin,N,N,60,42,43,45,45,45,45,45,45,
B/G ENTERTAINMENT,C,Li Shuo,N,N,80,69,88,-,,,,,,
B/G ENTERTAINMENT,C,Ying Chenxi,B,B,47,56,81,-,,,,,,
Banana Entertainment,C,Jiang Jingzuo,A,A,8,13,14,17,17,17,17,17,17,
Banana Entertainment,N,Zhao Jinyao,B,B,67,66,65,43,43,43,43,43,43,
BF Entertainment,A,Wei Hongyu,N,N,84,4,4,6,6,6,6,6,6,
ChengMengWenHua,N,Ke Er,N,N,118,48,58,46,46,46,46,46,46,
Chenfan Entertainment,N,Zhong Fulin,N,N,91,71,59,-,,,,,,
"Beijing Chunyin Culture Media Co., Ltd.",B,Zhang Siyuan,C,C,24,17,19,19,19,19,19,19,19,
CIWEN MEDIA,B,Deng Zeming,B,B,15,20,20,21,21,21,21,21,21,
D.WANG MEDIA,C,Cao Yuxue,C,C,116,102,115,-,,,,,,
D.WANG MEDIA,B,Li Tianqi,B,B,89,103,112,-,,,,,,
D.WANG MEDIA,C,Li Zichen,C,C,110,116,117,-,,,,,,
D.WANG MEDIA,C,Zhao Mingxuan,C,C,112,115,118,-,,,,,,
DMDF,C,Ka Si,B,B,31,45,57,-,,,,,,
DMDF,C,Chen Dingding,C,C,18,28,37,49,49,49,49,49,49,
DMDF,C,Qi Ha,B,B,26,33,47,64,-,,,,,
DMDF,C,Shi Qijun,C,C,30,41,53,-,,,,,,
DMDF,C,Cui Yunfeng,A,A,25,34,44,54,54,54,54,54,54,
"Emperor (Beijing) Culture Development Co., Ltd.",C,Yu Yanlong,C,C,50,67,82,-,,,,,,
FancyTown Culture,B,Wang Jiachen,C,C,63,60,45,27,27,27,27,27,27,
Gramarie Entertainment,N,Hu Xuanhao,B,B,108,110,101,-,,,,,,
HAOHAN Entertainment,N,Chang Huasen,N,N,11,15,17,16,16,16,16,16,16,
